Time_hh:mm:ss,Date,Line,Timestamp__ms_,Total_field_anomaly__nT_,Longitude__°_,Latitude__°_,Easting,Northing,Altitude__m_,Time,interpolated_magnetic_reading,diurnal_correction_magnetic,Heading_deg,FlightDirection_deg,directional_bias_huber,direction_corrected_huber,micro_bias_sg,TMI_micro_sg
2022-10-09 13:33:12,2022-10-09,18,19991507,41843.901,101.887232393482,4.59464381274117,820385.87619,508504.17089,474.76,2022-10-09 13:33:12,42025.05555127647,-181.15455127647147,359.81492682761353,0,-67.04112,-114.113434,-5.0,-109.113434
2022-10-09 13:33:13,2022-10-09,18,19992507,41814.387,101.887232222241,4.59468275046868,820385.83976,508508.48031,476.26,2022-10-09 13:33:13,42025.041732712925,-210.65473271292285,359.5156574371058,0,-67.04112,-143.61362,-5.0,-138.61362
2022-10-09 13:33:14,2022-10-09,18,19993508,41789.25,101.887231923086,4.5947210520163,820385.78941,508512.71927,477.82,2022-10-09 13:33:14,42025.02628716685,-235.77628716685285,359.31947769199076,0,-67.04112,-168.73517,-5.0,-163.73517
2022-10-09 13:33:15,2022-10-09,18,19994508,41767.083999999995,101.887231679845,4.59475862555663,820385.74559,508516.87768,479.36,2022-10-09 13:33:15,42025.00937177189,-257.9253717718966,359.3962576720525,0,-67.04112,-190.88426,-5.0,-185.88426
2022-10-09 13:33:16,2022-10-09,18,19995508,41752.245,101.887231387317,4.59479527105848,820385.69672,508520.93335,480.45,2022-10-09 13:33:16,42024.991151120026,-272.74615112002357,359.3096309035872,0,-67.04112,-205.70503,-5.0,-200.70503
2022-10-09 13:33:17,2022-10-09,18,19996508,41739.064,101.887231188502,4.59483120087888,820385.65857,508524.90986,480.85,2022-10-09 13:33:17,42024.97178600301,-285.90778600300837,359.450330331986,0,-67.04112,-218.86665,-5.0,-213.86665
2022-10-09 13:33:18,2022-10-09,18,19997508,41729.403999999995,101.887231261751,4.59486756695038,820385.65045,508528.93478,481.25,2022-10-09 13:33:18,42024.95143918967,-295.5474391896714,359.88440985181836,0,-67.04112,-228.5063,-5.0,-223.5063
2022-10-09 13:33:19,2022-10-09,18,19998508,41721.096000000005,101.88723132583,4.59490683941458,820385.64,508533.28135,481.91,2022-10-09 13:33:19,42024.93027353337,-303.83427353336447,359.8622500640579,0,-67.04112,-236.79314,-5.0,-231.79314
2022-10-09 13:33:20,2022-10-09,18,19999508,41711.505,101.887231158368,4.59495151180724,820385.60143,508538.22548,482.81,2022-10-09 13:33:20,42024.90844459784,-313.40344459783955,359.55303493519796,0,-67.04112,-246.36232,-5.0,-241.36232
2022-10-09 13:33:21,2022-10-09,18,20000508,41700.583,101.887231086652,4.59500133786097,820385.57118,508543.74003,483.81,2022-10-09 13:33:21,42024.886102862365,-324.30310286236636,359.6857078183644,0,-67.04112,-257.26196,-5.0,-252.26196
2022-10-09 13:33:22,2022-10-09,18,20001508,41682.733,101.887231133816,4.59505320371894,820385.55322,508549.4804,485.06,2022-10-09 13:33:22,42024.86339137391,-342.13039137391024,359.820738238029,0,-67.04112,-275.0893,-5.0,-270.0893
2022-10-09 13:33:23,2022-10-09,18,20002508,41664.867,101.887231441797,4.59510367804846,820385.56486,508555.06688,486.25,2022-10-09 13:33:23,42024.840449522104,-359.9734495221055,0.11938141920103362,0,-67.04112,-292.9323,-5.0,-287.9323
2022-10-09 13:33:24,2022-10-09,18,20003508,41641.990999999995,101.887231942181,4.59515038776657,820385.59954,508560.23678,487.06,2022-10-09 13:33:24,42024.81742188272,-382.8264218827244,0.38433776784864904,0,-67.04112,-315.78528,-5.0,-310.78528
2022-10-09 13:33:25,2022-10-09,18,20004508,41613.123999999996,101.887232422204,4.59519244839422,820385.63404,508564.89213,488.82,2022-10-09 13:33:25,42024.794445042,-411.6704450420002,0.4246014179624922,0,-67.04112,-344.62933,-5.0,-339.62933
2022-10-09 13:33:26,2022-10-09,18,20005508,41584.6,101.887233057034,4.59523002995691,820385.68774,508569.05182,490.72,2022-10-09 13:33:26,42024.771640426996,-440.1716404269973,0.7396254166290532,0,-67.04112,-373.1305,-5.0,-368.1305
2022-10-09 13:33:27,2022-10-09,18,20006508,41558.925,101.887233781855,4.59526320826562,820385.7534,508572.72422,492.62,2022-10-09 13:33:27,42024.749124938746,-465.8241249387429,1.024300210721492,0,-67.04112,-398.78302,-5.0,-393.78302
2022-10-09 13:33:28,2022-10-09,18,20007508,41535.287,101.887234189856,4.59529233083174,820385.78569,508575.94759,494.52,2022-10-09 13:33:28,42024.727023097075,-489.44002309707867,0.5739393365893193,0,-67.04112,-422.39893,-5.0,-417.39893
2022-10-09 13:33:29,2022-10-09,18,20008508,41514.278000000006,101.887234355617,4.59531851683998,820385.79239,508578.84585,496.47,2022-10-09 13:33:29,42024.7054607059,-510.42746070589783,0.13245224161909164,0,-67.04112,-443.38635,-5.0,-438.38635
2022-10-09 13:33:30,2022-10-09,18,20009508,41494.316000000006,101.88723446213,4.59534275396033,820385.79338,508581.52839,498.36,2022-10-09 13:33:30,42024.6845510142,-530.368551014195,0.02114519230701717,0,-67.04112,-463.3274,-5.0,-458.3274
2022-10-09 13:33:31,2022-10-09,18,20010508,41477.226,101.887234586802,4.59536605128208,820385.7968,508584.10692,499.81,2022-10-09 13:33:31,42024.66439396681,-547.4383939668041,0.07599347263709433,0,-67.04112,-480.39728,-5.0,-475.39728
2022-10-09 13:33:32,2022-10-09,18,20011508,41462.364,101.887234700311,4.59538915101946,820385.79908,508586.66357,500.35,2022-10-09 13:33:32,42024.645101108785,-562.2811011087833,0.05109590422171095,0,-67.04112,-495.24,-5.0,-490.24
2022-10-09 13:33:33,2022-10-09,18,20012508,41442.907,101.887234672039,4.59541238850934,820385.78555,508589.23541,501.41,2022-10-09 13:33:33,42024.62679214601,-581.7197921460101,359.6985797152787,0,-67.04112,-514.67865,-5.0,-509.67865
2022-10-09 13:33:34,2022-10-09,18,20013508,41426.623999999996,101.887234496499,4.59543578956621,820385.75559,508591.82528,502.15,2022-10-09 13:33:34,42024.60957666056,-597.9855766605615,359.3372234929224,0,-67.04112,-530.94446,-5.0,-525.94446
2022-10-09 13:33:35,2022-10-09,18,20014508,41409.935,101.887234133519,4.59545917383109,820385.70482,508594.41322,502.75,2022-10-09 13:33:35,42024.593566543015,-614.6585665430175,358.8761201442812,0,-67.04112,-547.61743,-5.0,-542.61743
2022-10-09 13:33:36,2022-10-09,18,20015508,41394.803,101.887233979696,4.59548259405998,820385.67726,508597.00522,503.2,2022-10-09 13:33:36,42024.578871104175,-629.7758711041752,359.39081320296657,0,-67.04112,-562.73474,-5.0,-557.73474
2022-10-09 13:33:37,2022-10-09,18,20016508,41379.069,101.887234077254,4.59550617987619,820385.67754,508599.61567,503.85,2022-10-09 13:33:37,42024.56559909109,-645.496599091086,0.006145612299746972,0,-67.04112,-578.45544,-5.0,-573.45544
2022-10-09 13:33:38,2022-10-09,18,20017508,41364.198,101.887234045833,4.59553019303974,820385.66332,508602.27336,504.71,2022-10-09 13:33:38,42024.55385734657,-660.3558573465707,359.6934412200112,0,-67.04112,-593.3147,-5.0,-588.3147
2022-10-09 13:33:39,2022-10-09,18,20018508,41349.96,101.887233891989,4.59555462970902,820385.6353,508604.97786,505.61,2022-10-09 13:33:39,42024.54374868572,-674.5837486857199,359.4064077248119,0,-67.04112,-607.5426,-5.0,-602.5426
2022-10-09 13:33:40,2022-10-09,18,20019508,41336.979,101.887233686765,4.59557906187521,820385.60158,508607.68184,506.41,2022-10-09 13:33:40,42024.53538806627,-687.5563880662739,359.2855296488292,0,-67.04112,-620.51526,-5.0,-615.51526
2022-10-09 13:33:41,2022-10-09,18,20020508,41324.919,101.887233615063,4.59560373988113,820385.58258,508610.41309,507.25,2022-10-09 13:33:41,42024.528877698256,-699.6098776982544,359.6014270941866,0,-67.04112,-632.5687,-5.0,-627.5687
2022-10-09 13:33:42,2022-10-09,18,20021508,41313.322,101.887233648104,4.59562957647734,820385.5747,508613.27262,508.21,2022-10-09 13:33:42,42024.52430762341,-711.2023076234109,359.8421105557626,0,-67.04112,-644.1612,-5.0,-639.1612
2022-10-09 13:33:43,2022-10-09,18,20022508,41301.647,101.887233721416,4.59565744770179,820385.57037,508616.35735,509.11,2022-10-09 13:33:43,42024.52176476906,-722.8747647690616,359.91957462604654,0,-67.04112,-655.8336,-5.0,-650.8336
2022-10-09 13:33:44,2022-10-09,18,20023508,41291.090000000004,101.887233795693,4.59568808077422,820385.56492,508619.74775,510.01,2022-10-09 13:33:44,42024.52133293816,-733.4313329381548,359.9078982639579,0,-67.04112,-666.3902,-5.0,-661.3902
2022-10-09 13:33:45,2022-10-09,18,20024508,41281.297,101.8872338966,4.59572182631761,820385.56103,508623.48265,510.96,2022-10-09 13:33:45,42024.523087567446,-743.2260875674474,359.94032490705854,0,-67.04112,-676.18494,-5.0,-671.18494
2022-10-09 13:33:46,2022-10-09,18,20025508,41275.03,101.887234154655,4.59575573910285,820385.57453,508627.23612,512.11,2022-10-09 13:33:46,42024.52708442187,-749.4970844218697,0.20607323042202097,0,-67.04112,-682.45593,-5.0,-677.45593
2022-10-09 13:33:47,2022-10-09,18,20026508,41274.195,101.887234462878,4.59578404853784,820385.5961,508630.36946,513.35,2022-10-09 13:33:47,42024.533369946956,-750.3383699469559,0.3944195143506022,0,-67.04112,-683.29724,-5.0,-678.29724
2022-10-09 13:33:48,2022-10-09,18,20027508,41277.143,101.887234643434,4.59580706888954,820385.60585,508632.91736,514.11,2022-10-09 13:33:48,42024.5419773604,-747.3989773604044,0.21925159085867563,0,-67.04112,-680.35785,-5.0,-675.35785
2022-10-09 13:33:49,2022-10-09,18,20028508,41276.775,101.88723475971,4.59583195637903,820385.60763,508635.67188,514.95,2022-10-09 13:33:49,42024.55292328133,-747.7779232813264,0.0370251330582505,0,-67.04112,-680.73676,-5.0,-675.73676
2022-10-09 13:33:50,2022-10-09,18,20029508,41275.996999999996,101.887234999363,4.59586168457704,820385.62095,508638.9622,515.55,2022-10-09 13:33:50,42024.56620843646,-748.5692084364637,0.2319457121667483,0,-67.04112,-681.5281,-5.0,-676.5281
2022-10-09 13:33:51,2022-10-09,18,20030508,41275.094,101.887235296302,4.59589510163556,820385.63898,508642.66083,515.7,2022-10-09 13:33:51,42024.58181332479,-749.4878133247912,0.27930199124790533,0,-67.04112,-682.44666,-5.0,-677.44666
