Time,interpolated_magnetic_reading
2022-10-07 17:35:46,41906.53692594822
2022-10-07 17:35:47,41906.5204426906
2022-10-07 17:35:48,41906.50440876258
2022-10-07 17:35:49,41906.48888588588
2022-10-07 17:35:50,41906.4739180099
2022-10-07 17:35:51,41906.45953478281
2022-10-07 17:35:52,41906.44575275623
2022-10-07 17:35:53,41906.43258765863
2022-10-07 17:35:54,41906.42005208581
2022-10-07 17:35:55,41906.408142140004
2022-10-07 17:35:56,41906.39685437737
2022-10-07 17:35:57,41906.38619013031
2022-10-07 17:35:58,41906.37614310396
2022-10-07 17:35:59,41906.366713590585
2022-10-07 17:36:00,41906.357901828225
2022-10-07 17:36:01,41906.349700647035
2022-10-07 17:36:02,41906.34211113949
2022-10-07 17:36:03,41906.33513686694
2022-10-07 17:36:04,41906.32877733014
2022-10-07 17:36:05,41906.32303813111
2022-10-07 17:36:06,41906.31791640482
2022-10-07 17:36:07,41906.31339794842
2022-10-07 17:36:08,41906.309478252646
2022-10-07 17:36:09,41906.306151302095
2022-10-07 17:36:10,41906.30341162448
2022-10-07 17:36:11,41906.3012448893
2022-10-07 17:36:12,41906.299618035635
2022-10-07 17:36:13,41906.29850515585
2022-10-07 17:36:14,41906.297889484755
2022-10-07 17:36:15,41906.29774852025
2022-10-07 17:36:16,41906.29805543429
2022-10-07 17:36:17,41906.298783452
2022-10-07 17:36:18,41906.29990316664
2022-10-07 17:36:19,41906.30138356032
2022-10-07 17:36:20,41906.30319204501
2022-10-07 17:36:21,41906.305296761624
2022-10-07 17:36:22,41906.307662350235
2022-10-07 17:36:23,41906.310253501884
2022-10-07 17:36:24,41906.31302884993
2022-10-07 17:36:25,41906.315932690486
2022-10-07 17:36:26,41906.318913376934
2022-10-07 17:36:27,41906.32191804473
2022-10-07 17:36:28,41906.32488115488
2022-10-07 17:36:29,41906.32773086367
2022-10-07 17:36:30,41906.330385813744
2022-10-07 17:36:31,41906.33275166663
2022-10-07 17:36:32,41906.33473531456
2022-10-07 17:36:33,41906.33624147288
2022-10-07 17:36:34,41906.337163729746
2022-10-07 17:36:35,41906.337381172496
2022-10-07 17:36:36,41906.33678083147
2022-10-07 17:36:37,41906.33524490329
2022-10-07 17:36:38,41906.33264455078
2022-10-07 17:36:39,41906.328850509955
2022-10-07 17:36:40,41906.32373202511
2022-10-07 17:36:41,41906.31716793195
2022-10-07 17:36:42,41906.30902859097
2022-10-07 17:36:43,41906.29918376978
2022-10-07 17:36:44,41906.28751728601
2022-10-07 17:36:45,41906.27391173505
2022-10-07 17:36:46,41906.25825962584
2022-10-07 17:36:47,41906.24046625814
2022-10-07 17:36:48,41906.22045269421
2022-10-07 17:36:49,41906.19815673122
2022-10-07 17:36:50,41906.17352942638
2022-10-07 17:36:51,41906.14654939592
2022-10-07 17:36:52,41906.117232777586
2022-10-07 17:36:53,41906.08561833791
2022-10-07 17:36:54,41906.05177234785
2022-10-07 17:36:55,41906.01580286263
2022-10-07 17:36:56,41905.977851049305
2022-10-07 17:36:57,41905.9380970136
2022-10-07 17:36:58,41905.896754621695
2022-10-07 17:36:59,41905.85406710986
2022-10-07 17:37:00,41905.81031547385
2022-10-07 17:37:01,41905.76579789818
2022-10-07 17:37:02,41905.72083796947
2022-10-07 17:37:03,41905.675781077414
2022-10-07 17:37:04,41905.63098244062
2022-10-07 17:37:05,41905.586800702134
2022-10-07 17:37:06,41905.54358812862
2022-10-07 17:37:07,41905.50169095465
2022-10-07 17:37:08,41905.46144098849
2022-10-07 17:37:09,41905.42314788482
2022-10-07 17:37:10,41905.38709989686
2022-10-07 17:37:11,41905.353547376326
2022-10-07 17:37:12,41905.32271051561
2022-10-07 17:37:13,41905.29478034322
2022-10-07 17:37:14,41905.26991502653
2022-10-07 17:37:15,41905.24823266318
2022-10-07 17:37:16,41905.22981635225
2022-10-07 17:37:17,41905.21471725705
2022-10-07 17:37:18,41905.20295403614
2022-10-07 17:37:19,41905.19452295044
2022-10-07 17:37:20,41905.18939677595
2022-10-07 17:37:21,41905.18752637514
2022-10-07 17:37:22,41905.188847289246
2022-10-07 17:37:23,41905.193267530776
2022-10-07 17:37:24,41905.20067961605
2022-10-07 17:37:25,41905.210977212875
2022-10-07 17:37:26,41905.224043342365
2022-10-07 17:37:27,41905.2397487087
2022-10-07 17:37:28,41905.2579577443
2022-10-07 17:37:29,41905.278525061185
2022-10-07 17:37:30,41905.30129777148
2022-10-07 17:37:31,41905.32611709789
2022-10-07 17:37:32,41905.35282391293
2022-10-07 17:37:33,41905.38126114101
2022-10-07 17:37:34,41905.41126044654
2022-10-07 17:37:35,41905.44264442111
2022-10-07 17:37:36,41905.475244539244
2022-10-07 17:37:37,41905.50888741399
2022-10-07 17:37:38,41905.54339250707
2022-10-07 17:37:39,41905.578588550874
2022-10-07 17:37:40,41905.61430934428
2022-10-07 17:37:41,41905.65038537901
2022-10-07 17:37:42,41905.68664778395
2022-10-07 17:37:43,41905.72293080462
2022-10-07 17:37:44,41905.75906907299
2022-10-07 17:37:45,41905.79491102166
2022-10-07 17:37:46,41905.83031310353
2022-10-07 17:37:47,41905.86512898812
2022-10-07 17:37:48,41905.899223903
2022-10-07 17:37:49,41905.9324735468
2022-10-07 17:37:50,41905.96475401827
2022-10-07 17:37:51,41905.99595071772
2022-10-07 17:37:52,41906.02596501075
2022-10-07 17:37:53,41906.05470638811
2022-10-07 17:37:54,41906.082087726376
2022-10-07 17:37:55,41906.10804492174
2022-10-07 17:37:56,41906.13252105023
2022-10-07 17:37:57,41906.15545671401
2022-10-07 17:37:58,41906.1768181479
2022-10-07 17:37:59,41906.19659530539
2022-10-07 17:38:00,41906.21478278139
2022-10-07 17:38:01,41906.23137674275
2022-10-07 17:38:02,41906.246395190086
2022-10-07 17:38:03,41906.25987386607
2022-10-07 17:38:04,41906.271841713075
2022-10-07 17:38:05,41906.282332489696
2022-10-07 17:38:06,41906.29140146616
2022-10-07 17:38:07,41906.29910920728
2022-10-07 17:38:08,41906.30551259323
2022-10-07 17:38:09,41906.31067764947
2022-10-07 17:38:10,41906.314667295774
2022-10-07 17:38:11,41906.31754510469
2022-10-07 17:38:12,41906.31937566212
2022-10-07 17:38:13,41906.320215243584
2022-10-07 17:38:14,41906.32011628217
2022-10-07 17:38:15,41906.31914244152
2022-10-07 17:38:16,41906.31735485012
2022-10-07 17:38:17,41906.31480116248
2022-10-07 17:38:18,41906.31153502431
2022-10-07 17:38:19,41906.307618270985
2022-10-07 17:38:20,41906.30310368895
2022-10-07 17:38:21,41906.298044596624
2022-10-07 17:38:22,41906.292502535485
2022-10-07 17:38:23,41906.28654399817
2022-10-07 17:38:24,41906.28023841974
2022-10-07 17:38:25,41906.27364819453
2022-10-07 17:38:26,41906.26683719077
2022-10-07 17:38:27,41906.2598750543
2022-10-07 17:38:28,41906.25282998301
2022-10-07 17:38:29,41906.24577023309
2022-10-07 17:38:30,41906.23876042156
2022-10-07 17:38:31,41906.23185924029
2022-10-07 17:38:32,41906.225122546406
2022-10-07 17:38:33,41906.218600055494
2022-10-07 17:38:34,41906.212335162985
2022-10-07 17:38:35,41906.20636248479
2022-10-07 17:38:36,41906.20071076233
2022-10-07 17:38:37,41906.19540721652
2022-10-07 17:38:38,41906.19047539436
